I_01,I_02_A,I_02_B,I_02_C,I_02_D,I_02_E,I_02_F,I_02_G,I_02_H,I_02_I,I_03,I_04,I_05,I_06_A,I_06_B,I_06_C,I_07,I_07_A,I_07_B,I_07_C,I_07_D,I_07_E,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,1,,,,,,,,,2,,,,,,,,,,,,21,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,560,1,1,1
2,,1,,,,,,,,1,2,,,,,,,,,,,1142,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,1420,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,1506,2,1,2
3,,1,,,,,,,,1,1,6,1,,,2,,,,,,1535,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,1742,7,1,7
3,,,,,1,,,,,2,,,,,,,,,,,,2050,1,1,1
2,,,1,1,1,,,,,1,2,,,,,,,,,,,2181,3,1,3
2,,1,,,,,,,,1,2,,,,,,,,,,,2348,1,1,1
3,,,,1,,,,,,1,1,4,1,,,2,,,,,,3559,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,5453,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,9569,3,1,3
2,,,,,,1,,,,2,,,,,,,,,,,,9647,3,1,3
1,1,,,,,,,,,1,1,10,1,,,1,1,,,,,10145,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,10181,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,10882,1,1,1
3,,,,,1,,,,,1,1,2,1,,,2,,,,,,10894,1,1,1
1,,,,1,,,,,,1,1,3,,,1,2,,,,,,11785,4,1,4
3,,1,,,,,,,,2,,,,,,,,,,,,12440,3,1,3
2,,,1,,,,,,,1,2,,,,,,,,,,,12494,4,1,4
3,,,,1,,,,,,2,,,,,,,,,,,,13824,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,15087,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,15434,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,16428,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,17009,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,17197,2,1,2
3,,,1,,,,,,,1,2,,,,,,,,,,,19716,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,20465,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,21777,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,24326,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,24641,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,24882,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,25699,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,25808,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,25927,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,26391,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,26921,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,29051,1,1,1
3,,,,,,1,,,,2,,,,,,,,,,,,29153,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,31615,1,1,1
3,1,1,1,1,,,,,,2,,,,,,,,,,,,33313,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,33654,2,1,2
3,,1,,,,,,,,1,1,30,,,1,2,,,,,,38563,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,39583,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,39935,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,41385,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,41835,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,42302,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,43043,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,45058,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,45359,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,47364,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,47860,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,49944,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,51725,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,55700,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,56111,1,1,1
1,,,,1,,,,,,1,1,2,1,,,2,,,,,,56386,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,58354,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,58953,2,1,2
1,1,,,,,,,,,1,1,30,,,1,2,,,,,,59094,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,59817,2,1,2
