O_01,O_02,O_03,O_04_A,O_04_B,O_04_C,O_04_D,O_04_FUMADA,O_05,O_06,O_07,O_08,O_09,O_09_VALOR,O_09_TEXTO,O_10_A,O_10_B,O_10_C,O_10_D,O_10_E,O_10_F,O_10_G,O_10_H,O_10_I,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,290,1,1,1
3,1,2,,,1,,,2,,,3,1,80000,OCHENTA MIL PESOS,,,,,,,1,,,535,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,827,1,1,1
3,1,2,,,,1,,1,2,60000,10,2,,,,,1,,,,,,,1535,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,1742,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,,,,4166,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,8185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,10235,3,1,3
3,1,2,,,,1,,1,8,100000,12,2,,,,,1,,,,,,,11312,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,11891,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,12451,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,13168,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,13344,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,15087,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,17995,1,1,1
3,1,5,1,,1,,3,1,30,300000,60,1,5000,CINCO MIL,,,,1,,,,,,18905,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,20638,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,20777,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,21767,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,24631,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,25552,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,25699,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,25808,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,26081,1,1,1
3,1,1,1,,,,2,2,,,99,2,,,,,1,,1,1,1,,,26250,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,26840,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,27872,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,28161,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,28520,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,30927,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,32479,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,32562,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,33313,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,34697,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,37391,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,38155,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,41957,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,42659,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,43395,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,45216,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,46715,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,48871,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,50553,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,51531,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,,,,51552,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,52959,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,58919,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,59142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,59649,6,1,6
